Feature,Importance
Na:Bi F:Bi^2,0.1183003648930965
F:Bi^2,0.11335752218793294
F:Bi,0.10167750599555815
Na:Bi^2 F:Bi,0.09763772263584934
F:Bi^3,0.09461635165499555
Na:Bi+F:Bi,0.08969309484735209
Na:Bi F:Bi,0.07475383110136602
GeometricMean,0.07133086210263923
Na:Bi/F:Bi,0.06130500656386501
Na:Bi^3,0.05849940693566587
Na:Bi^2,0.04486415723090308
Na:Bi-F:Bi,0.03751795231307899
Na:Bi,0.03644622153769732
