Model,Mean CV F1,Std CV F1
Decision Tree,0.8704593033385603,0.08633411417212207
Random Forest,0.8658724853577795,0.11672488778563132
Gradient Boosting,0.852141726307748,0.09202893556442768
AdaBoost,0.8407563025210084,0.09318503557776803
XGBoost,0.8371728716330111,0.10401316103749475
SVM,0.7658995416348356,0.20411776153955766
Logistic Regression,0.6878418885036532,0.16309929274690343
QDA,0.6471976675285498,0.1817492756621604
Gaussian NB,0.6087021312021312,0.15613897459265869
