mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11430330276489258,0.013208666390910282,0.00900859832763672,0.0017912304190170329,3,sqrt,1,2,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8253968253968255,0.5151515151515151,0.9207459207459205,0.9030303030303031,0.7272727272727273,0.7783194583194584,0.14826834155715718,65
0.18721323013305663,0.015550006298752353,0.012412452697753906,0.0016269213324738758,3,sqrt,1,2,150,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.7272727272727273,0.763867243867244,0.13675602934088874,79
0.35631356239318845,0.02683696981011927,0.021395206451416016,0.003658017427939114,3,sqrt,1,2,300,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.7272727272727273,0.763867243867244,0.13675602934088874,79
0.5327865600585937,0.02624106817396305,0.030034923553466798,0.004567743415395841,3,sqrt,1,2,450,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.7272727272727273,0.763867243867244,0.13675602934088874,79
0.7368946552276612,0.019891704864744442,0.03743391036987305,0.005087616559719882,3,sqrt,1,2,600,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.7272727272727273,0.763867243867244,0.13675602934088874,79
0.7655223846435547,0.04489775587818647,0.04003653526306152,0.008204906420003162,3,sqrt,1,2,650,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 650}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.11590466499328614,0.009956980018420976,0.008007669448852539,0.0016746236520666757,3,sqrt,1,5,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8253968253968255,0.5151515151515151,0.9207459207459205,0.9030303030303031,0.6181818181818182,0.7565012765012765,0.16160175450135927,95
0.1747589588165283,0.013197151865397315,0.009808635711669922,0.0016012907338810117,3,sqrt,1,5,150,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.332702112197876,0.03330839082807665,0.018416690826416015,0.0033258214211895737,3,sqrt,1,5,300,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.54049072265625,0.04648314005895985,0.02902669906616211,0.005732516520517885,3,sqrt,1,5,450,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.6894294738769531,0.03705294011135111,0.04044017791748047,0.003198091797407254,3,sqrt,1,5,600,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.7421975135803223,0.018318025978198524,0.039743900299072266,0.008259981938899196,3,sqrt,1,5,650,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 650}",0.8253968253968255,0.5151515151515151,0.8484848484848484,0.9030303030303031,0.6181818181818182,0.7420490620490622,0.14900736701823253,117
0.1177103042602539,0.007997210089428348,0.0072062969207763675,0.001470898188357451,3,sqrt,1,10,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8253968253968255,0.5863636363636364,0.9207459207459205,0.7750000000000002,0.6181818181818182,0.7451376401376402,0.1260940367948616,97
0.1761601448059082,0.016760271647494752,0.010809850692749024,0.0022289484774030617,3,sqrt,1,10,150,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.8253968253968255,0.5863636363636364,0.8484848484848484,0.7750000000000002,0.6181818181818182,0.7306854256854258,0.10797830830145501,143
0.3640722751617432,0.016156596755185916,0.019417619705200194,0.0032029927489815087,3,sqrt,1,10,300,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8253968253968255,0.5863636363636364,0.9207459207459205,0.7750000000000002,0.6181818181818182,0.7451376401376402,0.1260940367948616,97
