Na:Bi,F:Bi,Na:Bi/F:Bi,Na:Bi+F:Bi,Na:Bi-F:Bi,GeometricMean,Na:Bi^2,Na:Bi F:Bi,F:Bi^2,Na:Bi^3,Na:Bi^2 F:Bi,Na:Bi F:Bi^2,F:Bi^3,Crystal_Type
2.0,12,0.16666665277777895,14.0,-10.0,4.898979485566356,4.0,24.0,144.0,8.0,48.0,288.0,1728.0,1
8.0,16,0.4999999687500019,24.0,-8.0,11.313708498984761,64.0,128.0,256.0,512.0,1024.0,2048.0,4096.0,0
2.0,4,0.49999987500003124,6.0,-2.0,2.8284271247461903,4.0,8.0,16.0,8.0,16.0,32.0,64.0,0
1.0,32,0.031249999023437534,33.0,-31.0,5.656854249492381,1.0,32.0,1024.0,1.0,32.0,1024.0,32768.0,0
3.0,4,0.7499998125000469,7.0,-1.0,3.4641016151377544,9.0,12.0,16.0,27.0,36.0,48.0,64.0,0
8.0,12,0.6666666111111158,20.0,-4.0,9.797958971132712,64.0,96.0,144.0,512.0,768.0,1152.0,1728.0,0
12.0,32,0.3749999882812504,44.0,-20.0,19.595917942265423,144.0,384.0,1024.0,1728.0,4608.0,12288.0,32768.0,0
4.0,4,0.9999997500000625,8.0,0.0,4.0,16.0,16.0,16.0,64.0,64.0,64.0,64.0,1
3.0,24,0.12499999479166687,27.0,-21.0,8.48528137423857,9.0,72.0,576.0,27.0,216.0,1728.0,13824.0,0
1.0,4,0.24999993750001562,5.0,-3.0,2.0,1.0,4.0,16.0,1.0,4.0,16.0,64.0,0
1.0,8,0.12499998437500197,9.0,-7.0,2.8284271247461903,1.0,8.0,64.0,1.0,8.0,64.0,512.0,0
3.0,12,0.2499999791666684,15.0,-9.0,6.0,9.0,36.0,144.0,27.0,108.0,432.0,1728.0,1
2.0,16,0.12499999218750048,18.0,-14.0,5.656854249492381,4.0,32.0,256.0,8.0,64.0,512.0,4096.0,1
8.0,5,1.599999680000064,13.0,3.0,6.324555320336759,64.0,40.0,25.0,512.0,320.0,200.0,125.0,1
24.0,32,0.7499999765625008,56.0,-8.0,27.712812921102035,576.0,768.0,1024.0,13824.0,18432.0,24576.0,32768.0,0
4.0,3,1.333332888889037,7.0,1.0,3.4641016151377544,16.0,12.0,9.0,64.0,48.0,36.0,27.0,2
12.0,16,0.7499999531250029,28.0,-4.0,13.856406460551018,144.0,192.0,256.0,1728.0,2304.0,3072.0,4096.0,0
4.0,12,0.3333333055555579,16.0,-8.0,6.928203230275509,16.0,48.0,144.0,64.0,192.0,576.0,1728.0,0
