Model,Mean CV F1,Std CV F1
Decision Tree,0.9127142052993445,0.10507670305517378
Gradient Boosting,0.8902333206009677,0.0650227935217223
Random Forest,0.8898546751236379,0.0999738094426425
XGBoost,0.8826146471347709,0.09651309944550995
AdaBoost,0.8190918472652218,0.12927609958996017
SVM,0.7673634453781513,0.2169246741943204
Gaussian NB,0.661570062634304,0.08820918314837564
QDA,0.6484319945620255,0.10039763030065842
Logistic Regression,0.5900410116199589,0.11876122994460943
