Model,Mean CV F1,Std CV F1
Decision Tree,0.9017529116909921,0.07874305640028423
Random Forest,0.8934948584697038,0.052737116186623925
Gradient Boosting,0.8728939997051451,0.07984865367160096
XGBoost,0.8429824561403508,0.08743198561362443
SVM,0.7925021806968401,0.08866106523412838
AdaBoost,0.77359427981719,0.12307916331628202
QDA,0.7259398496240601,0.1374957650082076
Gaussian NB,0.6834940291906235,0.14631736487022004
Logistic Regression,0.6274947478991596,0.034440578676113755
