,precision,recall,f1-score,support
NaBiF4,0.967391304347826,0.9888888888888889,0.978021978021978,90.0
Others,0.9642857142857143,0.9,0.9310344827586207,30.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.9658385093167702,0.9444444444444444,0.9545282303902993,120.0
weighted avg,0.9666149068322981,0.9666666666666667,0.9662751042061386,120.0
