Recall,Precision,AP
1.0,0.2982456140350877,1.0
1.0,0.3333333333333333,1.0
1.0,0.34,1.0
1.0,0.3469387755102041,1.0
1.0,0.4146341463414634,1.0
1.0,0.425,1.0
1.0,0.4594594594594595,1.0
1.0,0.4857142857142857,1.0
1.0,0.5,1.0
1.0,0.5151515151515151,1.0
1.0,0.53125,1.0
1.0,0.5483870967741935,1.0
1.0,0.5666666666666667,1.0
1.0,0.6071428571428571,1.0
1.0,0.6296296296296297,1.0
1.0,0.6538461538461539,1.0
1.0,0.68,1.0
1.0,0.7083333333333334,1.0
1.0,0.7391304347826086,1.0
1.0,0.7727272727272727,1.0
1.0,0.8095238095238095,1.0
1.0,0.85,1.0
1.0,0.8947368421052632,1.0
1.0,0.9444444444444444,1.0
1.0,1.0,1.0
0.9411764705882353,1.0,1.0
0.8823529411764706,1.0,1.0
0.8235294117647058,1.0,1.0
0.7647058823529411,1.0,1.0
0.7058823529411765,1.0,1.0
0.6470588235294118,1.0,1.0
0.5882352941176471,1.0,1.0
0.5294117647058824,1.0,1.0
0.47058823529411764,1.0,1.0
0.4117647058823529,1.0,1.0
0.35294117647058826,1.0,1.0
0.29411764705882354,1.0,1.0
0.17647058823529413,1.0,1.0
0.11764705882352941,1.0,1.0
0.058823529411764705,1.0,1.0
0.0,1.0,1.0
