,precision,recall,f1-score,support
NaBiF4,0.9770114942528736,1.0,0.9883720930232558,85.0
Others,1.0,0.9333333333333333,0.9655172413793104,30.0
accuracy,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739
macro avg,0.9885057471264368,0.9666666666666667,0.9769446672012831,115.0
weighted avg,0.983008495752124,0.9826086956521739,0.9824099578117919,115.0
