,precision,recall,f1-score,support
NaBiF4,1.0,0.9294117647058824,0.9634146341463414,85.0
Others,0.8333333333333334,1.0,0.9090909090909091,30.0
accuracy,0.9478260869565217,0.9478260869565217,0.9478260869565217,0.9478260869565217
macro avg,0.9166666666666667,0.9647058823529412,0.9362527716186253,115.0
weighted avg,0.9565217391304348,0.9478260869565217,0.9492432276101417,115.0
