Model,Mean CV F1,Std CV F1
Random Forest,0.8984166298098186,0.08327804085471058
Gradient Boosting,0.8770160695857291,0.07288198757523934
AdaBoost,0.8643830163644404,0.07694902710666289
Decision Tree,0.8507638581748489,0.06311487503626763
XGBoost,0.8483325961963732,0.059785398763209534
SVM,0.8463637955182073,0.11131932378892205
Logistic Regression,0.702266573295985,0.10431878143144775
QDA,0.6810437111907699,0.09422173578516779
Gaussian NB,0.6164454989454988,0.09817620595746608
